"","1"
"ind2_cat27:urban_m3",0
"ind2_cat28:urban_m3",0.0488968484090361
"ind2_cat29:urban_m3",-0.0208831278253255
"ind2_cat30:urban_m3",0.0306274664820859
"ind2_cat33:urban_m3",0.00877319355397685
"ind2_cat55:urban_m3",-0.0369908128481784
"ind2_cat56:urban_m3",-0.10981323039783
"labor_avg_mod:ind2_cat27",0
"labor_avg_mod:ind2_cat28",-0.034050513924093
"labor_avg_mod:ind2_cat29",0.0124982107026497
"labor_avg_mod:ind2_cat30",-0.00261277905478871
"labor_avg_mod:ind2_cat33",-0.00891158330833317
"labor_avg_mod:ind2_cat55",-0.0859582187796935
"labor_avg_mod:ind2_cat56",0
"sales_mil_log:age",0
"sales_mil_log:female",0
"sales_mil_log:profit_loss_year_pl",0
"sales_mil_log:foreign_management",0
