f_property_type,f_room_type,f_room_type2,f_neighbourhood_cleansed,n_accommodates,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_airconditioning,d_bathtub,d_bedlinens,d_bodysoap,d_carbonmonoxidealarm,d_coffeemaker,d_conditioner,d_cookingbasics,d_dedicatedworkspace,d_dishesandsilverware,d_dryer,d_elevator,d_essentials,d_ethernetconnection,d_extrapillowsandblankets,d_fireextingr,d_firstaidkit,d_hairdryer,d_hangers,d_heating,d_hotthampoo,d_hotwater,d_iron,d_keypad,d_kitchen,d_ledropoffallowed,d_lockonbedroomdoor,d_lockbox,d_longtermstaysallowed,d_microwave,d_oven,d_paidparkingoffpremises,d_patioorbalcony,d_privateentrance,d_refrigerator,d_roomdarkeningshades,d_shampoo,d_showergel,d_singlelevelhome,d_smartlock,d_smokealarm,d_washer,d_stove_gas_or_elect,d_tv,d_wifi,price,price_day,id,usd_price_day,ln_usd_price_day,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,ln_number_of_reviews,f_number_of_reviews,f_minimum_nights,flag_days_since,flag_review_scores_rating,flag_reviews_per_month,flag_n_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating
Apartment,Private room,Private,Shinjuku Ku,3,95,82,0.99,2,0,2474,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,"$6,980.00",6980,2491507,67.008,4.204812015248072,9,1.0986122886681098,1.206948960812582,0,4.418840607796598,3,2,0,0,0,0,7.813995675002791,61.05852840896232,477.1110769096666,6120676,15142552424,4.553876891600541
Apartment,Private room,Private,Koto Ku,3,90,73,0.94,30,3,2319,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,"$2,200.00",2200,2642449,21.119999999999997,3.050220458838061,9,1.0986122886681098,1.206948960812582,1.0986122886681098,4.30406509320417,3,3,0,0,0,0,7.749322464660356,60.05199866128965,465.3623022736855,5377761,12471027759,4.499809670330265
Apartment,Private room,Private,Koto Ku,3,87,90,1.09,30,3,2467,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,"$2,500.00",2500,2661155,23.999999999999996,3.1780538303479453,9,1.0986122886681098,1.206948960812582,1.0986122886681098,4.51085950651685,3,3,0,0,0,0,7.811163385025279,61.01427342755957,476.59245856127416,6086089,15014381563,4.465908118654584
Apartment,Entire home/apt,Entire/Apt,Adachi Ku,5,83,6,0.09,7,3,2095,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,"$13,000.00",13000,2867835,124.79999999999998,4.826712455935327,25,1.6094379124341003,2.5902903939802346,1.6094379124341003,1.9459101490553132,2,3,0,0,0,0,7.647786045440933,58.48863139684106,447.3085390136995,4389025,9195007375,4.418840607796598
Apartment,Entire home/apt,Entire/Apt,Taito Ku,6,95,253,3.18,1,6,2387,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,"$22,000.00",22000,2883497,211.2,5.352805551832106,36,1.791759469228055,3.210401995568401,1.791759469228055,5.537334267018537,3,1,0,0,0,0,7.778211474512493,60.50057374223781,470.5862568964634,5697769,13600574603,4.553876891600541
Apartment,Entire home/apt,Entire/Apt,Adachi Ku,2,90,4,0.06,7,1,2092,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,"$6,729.00",6729,2883869,64.5984,4.168189642679971,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1.6094379124341003,2,3,0,0,0,0,7.646353722445999,58.466725248763794,447.0572622451125,4376464,9155562688,4.499809670330265
Apartment,Entire home/apt,Entire/Apt,Shinjuku Ku,2,99,115,1.5,30,1,2295,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,"$12,380.00",12380,3177109,118.84799999999998,4.777845365730241,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,4.7535901911063645,3,3,0,0,0,0,7.738923757439457,59.89094092346084,463.4914255679741,5267025,12087822375,4.59511985013459
Apartment,Entire home/apt,Entire/Apt,Itabashi Ku,2,95,85,1.12,1,0,2277,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,"$4,500.00",4500,3235958,43.199999999999996,3.7658404952500644,4,0.6931471805599453,0.4804530139182014,0,4.454347296253507,3,1,0,0,0,0,7.731053144007127,59.769182715462485,462.0787279471127,5184729,11805627933,4.553876891600541
Apartment,Entire home/apt,Entire/Apt,Itabashi Ku,2,92,49,0.76,1,0,1925,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,"$4,500.00",4500,3339222,43.199999999999996,3.7658404952500644,4,0.6931471805599453,0.4804530139182014,0,3.912023005428146,2,1,0,0,0,0,7.563200592358071,57.20200320024548,432.6302244881649,3705625,7133328125,4.5217885770490405
Apartment,Entire home/apt,Entire/Apt,Taito Ku,4,94,125,1.6,5,4,2339,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,"$9,000.00",9000,3364169,86.39999999999999,4.45898767581001,16,1.3862943611198906,1.9218120556728056,1.3862943611198906,4.836281906951478,3,3,0,0,0,0,7.757906208351747,60.185108737582574,466.91042872561684,5470921,12796484219,4.543294782270004
Apartment,Entire home/apt,Entire/Apt,Meguro Ku,2,91,134,1.71,2,2,2350,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,"$6,800.00",6800,3372902,65.28,4.178685710655851,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,4.90527477843843,3,2,0,0,0,0,7.762596048540069,60.257897412809896,467.7577163500109,5522500,12977875000,4.51085950651685
Apartment,Entire home/apt,Entire/Apt,Arakawa Ku,2,98,233,3.17,1,2,2205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,"$2,500.00",2500,3514008,23.999999999999996,3.1780538303479453,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,5.455321115357702,3,1,0,0,0,0,7.698936199813447,59.273618608797925,456.34380800121033,4862025,10720765125,4.584967478670572
Apartment,Entire home/apt,Entire/Apt,Machida Shi,2,97,96,1.24,3,2,2328,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,"$4,000.00",4000,3563698,38.4,3.648057459593681,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,4.574710978503383,3,3,0,0,0,0,7.753194269884341,60.112021386567385,466.0601797654992,5419584,12616791552,4.574710978503383
Apartment,Private room,Private,Suginami Ku,5,100,4,0.09,1,4,1369,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,"$9,000.00",9000,3606276,86.39999999999999,4.45898767581001,25,1.6094379124341003,2.5902903939802346,1.6094379124341003,1.6094379124341003,2,1,0,0,0,0,7.222566018822171,52.16545989624475,376.76847800284804,1874161,2565726409,4.605170185988092
Apartment,Entire home/apt,Entire/Apt,Kita Ku,5,86,209,2.76,3,5,2271,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,"$3,188.00",3188,3744742,30.604799999999997,3.421156859401759,25,1.6094379124341003,2.5902903939802346,1.6094379124341003,5.3471075307174685,3,3,0,0,0,0,7.7284157798410416,59.728410466096015,461.60598995099923,5157441,11712548511,4.454347296253507
Apartment,Private room,Private,Shinjuku Ku,4,97,71,0.91,2,3,2327,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,"$6,980.00",6980,3793412,67.008,4.204812015248072,16,1.3862943611198906,1.9218120556728056,1.3862943611198906,4.276666119016055,3,2,0,0,0,0,7.752764808851328,60.10536218136357,465.982736742939,5414929,12600539783,4.574710978503383
