"variable","ols_coefficient","lasso_coefficient"
"f_neighbourhood_cleansedOme Shi",-86.9215992212281,NA
"f_neighbourhood_cleansedOta Ku",25.2308186136025,-5.96892212486767
"f_neighbourhood_cleansedOta Ku:d_elevator",NA,2.71841092583872
"f_neighbourhood_cleansedOta Ku:f_room_typePrivate room",NA,-0.365834670687867
"f_neighbourhood_cleansedSetagaya Ku",28.6819067662076,NA
"f_neighbourhood_cleansedSetagaya Ku:d_elevator",NA,2.03954836561985
"f_neighbourhood_cleansedSetagaya Ku:f_room_typePrivate room",NA,1.41547411461258
"f_neighbourhood_cleansedSetagaya Ku:f_room_typeShared room",NA,-0.751911571249254
"f_neighbourhood_cleansedShibuya Ku",58.1768401817466,3.09124496142011
"f_neighbourhood_cleansedShibuya Ku:d_elevator",NA,3.01076865037903
"f_neighbourhood_cleansedShibuya Ku:f_room_typePrivate room",NA,-0.711156574836068
"f_neighbourhood_cleansedShinagawa Ku",34.6756995059648,0.276998571552719
"f_neighbourhood_cleansedShinagawa Ku:d_elevator",NA,2.2003188679276
"f_neighbourhood_cleansedShinjuku Ku",36.9531565428896,NA
"f_neighbourhood_cleansedShinjuku Ku:f_room_typePrivate room",NA,1.16348656818605
"f_neighbourhood_cleansedSuginami Ku",18.2533919230098,NA
"f_neighbourhood_cleansedSuginami Ku:d_elevator",NA,-0.573586440123141
"f_neighbourhood_cleansedSuginami Ku:f_room_typePrivate room",NA,0.279678171672164
"f_neighbourhood_cleansedSumida Ku",17.0052263053151,-2.18196613405397
"f_neighbourhood_cleansedSumida Ku:d_elevator",NA,2.74554361448735
"f_neighbourhood_cleansedSumida Ku:f_room_typePrivate room",NA,0.0424440370233057
"f_neighbourhood_cleansedSumida Ku:f_room_typeShared room",NA,0.78364332779192
"f_neighbourhood_cleansedTachikawa Shi",116.987350711512,1.72608411788588
"f_neighbourhood_cleansedTaito Ku",32.8155027142399,0.779141567702937
"f_neighbourhood_cleansedTaito Ku:d_elevator",NA,2.38213440659185
"f_neighbourhood_cleansedTaito Ku:f_room_typePrivate room",NA,0.80752840668825
"f_neighbourhood_cleansedTama Shi",-19.4097788852608,-0.609572283284038
"f_neighbourhood_cleansedToshima Ku",29.299080372091,1.47753647249686
"f_neighbourhood_cleansedToshima Ku:d_elevator",NA,1.93159588324893
"f_neighbourhood_cleansedToshima Ku:f_room_typePrivate room",NA,-1.24692641455674
