"mtry","min.node.size","splitrule","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
2,5,"variance",44.7379368157199,0.375767190689867,34.2998390051881,1.52265106957039,0.0234837116513757,0.844909362557614
2,5,"extratrees",45.2286991105607,0.37086253532298,34.7340914037395,1.49893651319402,0.0212073751052323,0.855743465801254
49,5,"variance",37.1661505585044,0.449295865857028,25.8270719959557,1.93088399395549,0.0293246801835506,1.0242287624763
49,5,"extratrees",36.7094798149349,0.460737113597356,25.0434480042152,2.04687226746408,0.034896735156727,1.06748439951442
96,5,"variance",37.5623675495423,0.432946430130253,25.9921621565568,1.98267314490202,0.0300615238694649,1.09363857370631
96,5,"extratrees",37.0921979054336,0.445915365677655,25.2100350972026,1.96623131995636,0.0323687488346604,1.00159992558576
