"","MeanDecreaseGini"
"f_neighbourhood_cleansed",2925136.69527555
"f_room_type",419593.539358057
"n_days_since",1287944.43357675
"n_accommodates",1706489.62864194
"n_beds",1281948.14762858
"n_number_of_reviews",1100208.27726349
"n_review_scores_rating",838937.932439827
"d_elevator",380012.984618048
"d_cookingbasics",282424.027670681
"d_tv",358473.789418693
"d_keypad",267667.478162144
"d_dryer",338585.650869854
"d_lockbox",275600.366180979
