"","CV RMSE"
"OLS",62.0644703094079
"LASSO (model w/ interactions)",60.6349171097845
"CART",63.4557807716914
"Random forest (smaller model)",61.1401770580843
"Random forest",52.9396604857968
"GBM (basic tuning)",55.9046073488198
