"mtry","splitrule","min.node.size","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
3,"variance",5,57.2892559177473,0.223538389993988,40.1428652379887,1.10520079094859,0.0244951931229511,0.616212692648307
3,"variance",10,57.3558265135392,0.223730991401809,40.1746116692932,1.14224392193898,0.0262301571298479,0.63832343165421
4,"variance",5,56.1345812441973,0.239340044545149,39.0510787214704,1.14568031878393,0.0280518814687325,0.671802655200159
4,"variance",10,56.113803183645,0.240177522130745,39.0029449019624,1.13641175175384,0.0277373579217133,0.652570056589096
5,"variance",5,55.2561453449748,0.253562046017861,38.2042295100923,1.13103081654103,0.027732574713967,0.691986896488582
5,"variance",10,55.3459589219446,0.251383499293867,38.2592659494938,1.09172341742555,0.0298620872280765,0.647438045460547
